frame_number,x_offset,x_offset_meters
10785,361.0,0.1582
10806,330.0,0.1446
10824,334.0,0.1463
10842,218.0,0.0955
10860,205.0,0.0898
10876,176.0,0.0771
10905,237.0,0.1038
10920,293.0,0.1284
10921,-672.0,-0.2944
10938,-681.0,-0.2984
10939,290.0,0.1271
10962,344.0,0.1507
10977,-644.0,-0.2822
10993,315.0,0.138
10995,-723.0,-0.3168
10996,279.0,0.1222
11001,-740.0,-0.3242
11016,237.0,0.1038
11031,193.0,0.0846
11046,-720.0,-0.3155
11047,250.0,0.1095
11066,202.0,0.0885
11087,230.0,0.1008
11104,361.0,0.1582
11120,-653.0,-0.2861
11121,321.0,0.1406
11136,-678.0,-0.2971
11138,326.0,0.1428
11153,-687.0,-0.301
11185,209.0,0.0916
11210,201.0,0.0881
11229,-615.0,-0.2695
11250,368.0,0.1612
11268,-622.0,-0.2725
11285,297.0,0.1301
11317,232.0,0.1016
11332,218.0,0.0955
11361,199.0,0.0872
11397,220.0,0.0964
11412,300.0,0.1314
11441,206.0,0.0903
11442,-684.0,-0.2997
11460,223.0,0.0977
11495,243.0,0.1065
11496,-723.0,-0.3168
11516,315.0,0.138
11536,291.0,0.1275
11552,382.0,0.1674
11581,292.0,0.1279
11625,286.0,0.1253
11645,247.0,0.1082
11660,333.0,0.1459
11662,-555.0,-0.2432
11677,-643.0,-0.2817
11678,406.0,0.1779
11693,-627.0,-0.2747
11705,370.0,0.1621
11721,-608.0,-0.2664
11742,366.0,0.1604
11773,332.0,0.1455
11774,-617.0,-0.2703
11795,358.0,0.1569
11796,-535.0,-0.2344
11824,384.0,0.1682
11825,-477.0,-0.209
11840,434.0,0.1902
11855,486.0,0.2129
11870,483.0,0.2116
11885,558.0,0.2445
11901,473.0,0.2072
11929,-602.0,-0.2638
11951,309.0,0.1354
11976,407.0,0.1783
11977,-537.0,-0.2353
11993,302.0,0.1323
12012,445.0,0.195
12028,-612.0,-0.2681
12044,390.0,0.1709
12066,525.0,0.23
12085,425.0,0.1862
12108,356.0,0.156
12123,-607.0,-0.2659
12140,-541.0,-0.237
12155,352.0,0.1542
12173,-591.0,-0.2589
12188,314.0,0.1376
12206,285.0,0.1249
12224,249.0,0.1091
12239,190.0,0.0832
12261,212.0,0.0929
12276,215.0,0.0942
12299,291.0,0.1275
12314,375.0,0.1643
12336,429.0,0.188
12339,-452.0,-0.198
12357,449.0,0.1967
12387,-584.0,-0.2559
12405,385.0,0.1687
12421,-558.0,-0.2445
12436,-590.0,-0.2585
12456,477.0,0.209
12478,533.0,0.2335
12496,418.0,0.1831
12514,-564.0,-0.2471
12531,-678.0,-0.2971
12532,545.0,0.2388
12548,549.0,0.2405
12566,-747.0,-0.3273
12581,509.0,0.223
12597,-653.0,-0.2861
12615,-597.0,-0.2616
12641,578.0,0.2532
12656,-512.0,-0.2243
12672,425.0,0.1862
12693,404.0,0.177
12717,-628.0,-0.2751
12734,-636.0,-0.2787
12756,306.0,0.1341
12783,395.0,0.1731
12784,-550.0,-0.241
12801,425.0,0.1862
12816,-665.0,-0.2914
12831,415.0,0.1818
12847,340.0,0.149
12879,287.0,0.1257
12897,249.0,0.1091
12919,-658.0,-0.2883
12938,405.0,0.1774
12957,506.0,0.2217
12972,413.0,0.1809
13008,-483.0,-0.2116
13027,349.0,0.1529
13064,263.0,0.1152
13085,334.0,0.1463
13103,445.0,0.195
13124,383.0,0.1678
13145,389.0,0.1704
13160,-545.0,-0.2388
13187,208.0,0.0911
13219,169.0,0.074
13235,137.0,0.06
13253,222.0,0.0973
13271,256.0,0.1122
13289,243.0,0.1065
13306,-637.0,-0.2791
13328,-613.0,-0.2686
13349,-721.0,-0.3159
13370,109.0,0.0478
13385,91.0,0.0399
13401,150.0,0.0657
13443,271.0,0.1187
13459,-640.0,-0.2804
13475,-549.0,-0.2405
13490,-676.0,-0.2962
13508,220.0,0.0964
13548,137.0,0.06
13566,-699.0,-0.3063
13583,225.0,0.0986
13598,355.0,0.1555
13614,-709.0,-0.3106
13630,319.0,0.1398
13648,285.0,0.1249
13670,168.0,0.0736
13685,156.0,0.0683
13702,123.0,0.0539
13732,-609.0,-0.2668
13748,249.0,0.1091
13770,-559.0,-0.2449
13805,271.0,0.1187
13820,241.0,0.1056
13821,-650.0,-0.2848
13837,-701.0,-0.3071
13856,150.0,0.0657
13878,188.0,0.0824
13893,156.0,0.0683
13910,120.0,0.0526
13954,157.0,0.0688
13970,-546.0,-0.2392
13991,-506.0,-0.2217
14007,214.0,0.0938
14024,190.0,0.0832
14049,-546.0,-0.2392
14075,83.0,0.0364
14105,-513.0,-0.2248
14135,186.0,0.0815
14150,137.0,0.06
14169,-643.0,-0.2817
14195,168.0,0.0736
14210,88.0,0.0386
14225,54.0,0.0237
14246,61.0,0.0267
14264,-117.0,-0.0513
14280,-115.0,-0.0504
14297,-113.0,-0.0495
14312,-129.0,-0.0565
14327,-159.0,-0.0697
14345,-357.0,-0.1564
14360,-401.0,-0.1757
14375,-514.0,-0.2252
14390,-642.0,-0.2813
14405,295.0,0.1292
14420,-590.0,-0.2585
14442,-617.0,-0.2703
14458,107.0,0.0469
14482,85.0,0.0372
14511,80.0,0.0351
14543,0.0,0.0
14570,-88.0,-0.0386
14595,-137.0,-0.06
14613,-151.0,-0.0662
14633,-88.0,-0.0386
14653,-123.0,-0.0539
14669,-128.0,-0.0561
14686,-126.0,-0.0552
14701,-131.0,-0.0574
14733,-127.0,-0.0556
14776,-46.0,-0.0202
14804,-29.0,-0.0127
14819,41.0,0.018
14858,-135.0,-0.0591
14873,-114.0,-0.0499
14888,-156.0,-0.0683
14923,-45.0,-0.0197
14940,-23.0,-0.0101
14964,23.0,0.0101
14998,6.0,0.0026
15013,-6.0,-0.0026
15021,-27.0,-0.0118
15056,-55.0,-0.0241
15075,-34.0,-0.0149
15095,33.0,0.0145
15119,115.0,0.0504
15133,93.0,0.0407
15154,79.0,0.0346
