frame_number,time_s,x,y,x_offset
15075,502.47,926,485,-34.0
15095,503.13,993,611,33.0
15119,503.93,1075,631,115.0
15133,504.4,1053,510,93.0
15154,505.1,1039,619,79.0
15169,505.6,975,677,15.0
15187,506.2,928,501,-32.0
15208,506.9,866,473,-94.0
15226,507.5,889,303,-71.0
15245,508.13,912,497,-48.0
15286,509.5,1065,611,105.0
15315,510.47,1048,467,88.0
15348,511.57,974,416,14.0
15374,512.43,922,387,-38.0
15390,512.97,961,564,1.0
15424,514.1,965,383,5.0
15441,514.67,971,637,11.0
15458,515.23,1010,313,50.0
15473,515.73,987,445,27.0
15492,516.37,1035,603,75.0
15514,517.1,1065,677,105.0
15537,517.87,1054,297,94.0
15558,518.57,1058,491,98.0
15573,519.07,1008,649,48.0
15588,519.57,1036,598,76.0
15604,520.1,1036,764,76.0
15637,521.2,1107,518,147.0
15659,521.93,1093,564,133.0
15679,522.6,1068,726,108.0
15707,523.53,1044,335,84.0
15731,524.33,1012,426,52.0
15763,525.4,1075,540,115.0
15781,526.0,1059,484,99.0
15799,526.6,1080,542,120.0
15814,527.1,1064,546,104.0
15829,527.6,1036,666,76.0
15851,528.33,1082,439,122.0
15874,529.1,1124,118,164.0
15915,530.47,1048,712,88.0
15932,531.03,1024,449,64.0
15947,531.53,1001,853,41.0
15964,532.1,1016,633,56.0
15981,532.67,996,511,36.0
16005,533.47,1030,508,70.0
16013,533.73,1052,468,92.0
16030,534.3,1065,373,105.0
16056,535.17,1094,361,134.0
16082,536.03,1065,525,105.0
16097,536.53,1021,713,61.0
16129,537.6,1035,732,75.0
16145,538.13,1046,399,86.0
16176,539.17,1078,461,118.0
16213,540.4,1032,562,72.0
16236,541.17,1053,537,93.0
16260,541.97,1078,483,118.0
16277,542.53,1044,475,84.0
